# Ghidra LK patch file v1
# source_program=lk.bin
# baseline=/tmp/lk_n981b_original.bin
# target_hint=LK_N980F_FROM_N981B
# format: profile|offset|old_hex|new_hex|function|instruction
# Use profile 1 for normal rows, or 0 to disable a row.
# Rows marked rollback are selected only by the --rollback-mode profile.
1|0x000149B8|2100|C102|cm_otp_write_rom_sec_boot_key|mov x1,#0x16
1|0x00014B50|0120|8122|cm_otp_check_rom_sec_boot_key|mov x1,#0x114
1|0x00014C64|4100|E102|cm_otp_write_use_rom_sec_boot_key|mov x1,#0x17
1|0x00014D10|2120|A122|cm_otp_read_use_rom_sec_boot_key|mov x1,#0x115
rollback|0x00015CB4|820200F9|9F0200F9|cm_otp_read_test|str xzr,[x20]
1|0x00015E00|F30300AA|130080D2|cm_otp_read_warranty|mov x19,#0x0
1|0x00015E14|820200F9E10302AA|9F0200F9010080D2|cm_otp_read_warranty|str xzr,[x20]; mov x1,#0x0
rollback|0x0003A26C|A0230791|E00313AA|load_and_verify_vbmeta|mov x0,x19
1|0x000832A0|223407B9|3F3407B9|set_warranty_void_bit_reason|str wzr,[x1,#0x734]
1|0x00084EB0|3F380571|3F4C0571|check_efuse_config|cmp w1,#0x153
1|0x00084ECC|C2298052|622A8052|check_efuse_config|mov w2,#0x153
rollback|0x00085720|600440F9|000080D2|initialize_efuse_data|mov x0,#0x0
1|0x00085778|210C40F9|010080D2|initialize_efuse_data|mov x1,#0x0
1|0x00085BF4|C02980D2|602A80D2|initialize_efuse_data|mov x0,#0x153
1|0x00085BF8|D4298052|742A8052|initialize_efuse_data|mov w20,#0x153
rollback|0x00086120|600800B4|1F2003D5|CheckKernelRP|nop
rollback|0x00086134|A00300B4|1D000014|CheckKernelRP|b commercial_bit_not_set
1|0x0008653C|00|20|emc_get_fuse_status|mov w0,#0x1
1|0x00086540|820000B5203840F9|1F2003D51F2003D5|emc_get_fuse_status|nop
1|0x00086549|001FEBE0079F1A|2003D51F2003D5|emc_get_fuse_status|
1|0x00087028|E0069837|37000014|post_check_kernel_integrity|b 0xe8087104
1|0x00087100|60F99F36|1F2003D5|post_check_kernel_integrity|nop
1|0x00087108|E6120094|1F2003D5|post_check_kernel_integrity|nop
1|0x0008710C|00F9FF34|1F2003D5|post_check_kernel_integrity|nop
1|0x00087110|00E08152|E0FF9F52|post_check_kernel_integrity|mov w0,#0xffff
1|0x00087CA8|FD7BB0A9E30400F0|000080D2C0035FD6|check_signature|mov x0,#0x0
1|0x00087DC8|FD7BBBA9FD|000080D2C0|check_ext4_signature|mov x0,#0x0
1|0x00087DCE|0091|5FD6|check_ext4_signature|
1|0x00202A50|8F61D2ADD25A917B93CFB4E93118A4CB95CF2127D697AFD67327A8B4E51B972B|EFD3426BE2EB922AF17A5E7A61FC2BF50624ED4E4D9DD20B9B71546A2BCB9AC9||
